date,availability,avg_alloc_mem,node_total,avg_cpus_load_lower,nodes,avg_cpus_load_upper,avg_free_mem_lower,avg_free_mem_upper,avg_job_size_lower,avg_job_size_upper,avg_memory,node_alloc,node_idle,avg_time_limit,cores,cpus,node_other
1674818700,1.0,111040.36363636363,1379.0,39.06818181818182,1379.0,84.56545454545454,198247.45454545456,221502.18181818182,200.0,700.0,240000.0,993.0,386.0,129600.0,16.0,256.0,0.0
1674819000,1.0,111040.36363636363,1378.0,27.627272727272725,1378.0,78.15818181818182,196461.81818181818,221181.9090909091,200.0,700.0,240000.0,985.0,393.0,129600.0,16.0,256.0,0.0
1674819300,1.0,111040.36363636363,1379.0,27.631818181818186,1379.0,79.31181818181818,195869.81818181818,220679.63636363635,200.0,700.0,240000.0,982.0,397.0,129600.0,16.0,256.0,0.0
1674819600,1.0,111040.36363636363,1379.0,26.069090909090907,1379.0,71.6209090909091,194844.63636363635,221584.81818181818,200.0,700.0,240000.0,1010.0,369.0,129600.0,16.0,256.0,0.0
1674819900,1.0,103593.09090909091,1379.0,25.216363636363635,1379.0,73.84636363636365,197123.36363636365,223522.27272727274,200.0,700.0,240000.0,1007.0,372.0,129600.0,16.0,256.0,0.0
1674820200,1.0,93422.4,1379.0,28.348000000000003,1379.0,76.85300000000001,187799.6,227686.9,200.0,700.0,240000.0,1220.0,159.0,129600.0,16.0,256.0,0.0
1674820500,1.0,93422.4,1379.0,28.306,1379.0,74.063,187859.1,227767.3,200.0,700.0,240000.0,1022.0,357.0,129600.0,16.0,256.0,0.0
1674820800,1.0,93422.4,1379.0,38.128,1379.0,81.12400000000001,201349.1,227629.3,200.0,700.0,240000.0,1070.0,309.0,129600.0,16.0,256.0,0.0
1674821100,1.0,89239.11111111111,1379.0,47.12222222222222,1379.0,102.77333333333334,188731.0,225120.0,200.0,700.0,240000.0,1057.0,322.0,129600.0,16.0,256.0,0.0
1674821400,1.0,89239.11111111111,1379.0,43.44111111111111,1379.0,104.30666666666667,188640.55555555556,225699.33333333334,200.0,700.0,240000.0,1063.0,316.0,129600.0,16.0,256.0,0.0
1674821700,1.0,83815.2,1379.0,46.424,1379.0,94.28299999999999,201886.8,228264.7,200.0,700.0,240000.0,1262.0,117.0,129600.0,16.0,256.0,0.0
1674822000,1.0,79468.36363636363,1378.0,38.01,1378.0,88.75636363636363,201823.0,229268.0909090909,200.0,700.0,240000.0,1062.0,316.0,129600.0,16.0,256.0,0.0
1674822300,1.0,83768.66666666667,1379.0,49.7825,1379.0,87.68750000000001,206143.58333333334,231328.16666666666,200.0,700.0,240000.0,1032.0,347.0,129600.0,16.0,256.0,0.0
1674822600,1.0,80514.15384615384,1379.0,53.955384615384624,1379.0,99.18999999999998,209601.92307692306,232412.92307692306,200.0,700.0,240000.0,1069.0,310.0,129600.0,16.0,256.0,0.0
1674822900,1.0,75677.42857142857,1379.0,49.77785714285715,1379.0,87.92499999999998,211529.5,231250.42857142858,200.0,700.0,240000.0,1083.0,296.0,129600.0,16.0,256.0,0.0
1674823200,1.0,75677.42857142857,1379.0,51.92857142857143,1379.0,77.89571428571428,209181.2857142857,230218.35714285713,200.0,700.0,240000.0,1112.0,267.0,129600.0,16.0,256.0,0.0
1674823500,1.0,80514.15384615384,1379.0,55.90384615384615,1379.0,93.1476923076923,205390.76923076922,230425.0,200.0,700.0,240000.0,1050.0,329.0,129600.0,16.0,256.0,0.0
1674824100,1.0,74945.14285714286,1379.0,54.885714285714286,1379.0,92.4692857142857,207730.7857142857,231788.57142857142,200.0,700.0,240000.0,1078.0,301.0,129600.0,16.0,256.0,0.0
1674824700,1.0,70627.69230769231,1379.0,51.14769230769231,1379.0,103.24923076923076,208326.53846153847,231674.6923076923,200.0,700.0,240000.0,1063.0,316.0,129600.0,16.0,256.0,0.0
1674825000,1.0,70627.69230769231,1379.0,51.14769230769231,1379.0,103.24923076923076,208326.53846153847,231674.6923076923,200.0,700.0,240000.0,1063.0,316.0,129600.0,16.0,256.0,0.0
1674825300,1.0,70627.69230769231,1379.0,50.18076923076923,1379.0,98.76769230769229,210063.61538461538,232104.76923076922,200.0,700.0,240000.0,1130.0,249.0,129600.0,16.0,256.0,0.0
1674825600,1.0,70627.69230769231,1379.0,50.18076923076923,1379.0,98.76769230769229,210063.61538461538,232104.76923076922,200.0,700.0,240000.0,1130.0,249.0,129600.0,16.0,256.0,0.0
1674825900,1.0,72897.14285714286,1378.0,47.29357142857143,1378.0,91.42285714285713,209807.35714285713,232242.92857142858,200.0,700.0,240000.0,1108.0,270.0,129600.0,16.0,256.0,0.0
1674826200,1.0,72897.14285714286,1378.0,47.29357142857143,1378.0,91.42285714285713,209807.35714285713,232242.92857142858,200.0,700.0,240000.0,1108.0,270.0,129600.0,16.0,256.0,0.0
1674826500,1.0,68890.66666666667,1378.0,48.321999999999996,1378.0,84.82133333333333,209242.4,232697.86666666667,200.0,700.0,240000.0,1119.0,259.0,129600.0,16.0,256.0,0.0
1674826800,1.0,68890.66666666667,1378.0,48.321999999999996,1378.0,84.82133333333333,209242.4,232697.86666666667,200.0,700.0,240000.0,1119.0,259.0,129600.0,16.0,256.0,0.0
1674827100,1.0,81178.66666666667,1378.0,58.07000000000001,1378.0,94.36733333333333,209722.73333333334,231431.4,200.0,700.0,240000.0,1083.0,295.0,129600.0,16.0,256.0,0.0
1674827400,1.0,81178.66666666667,1378.0,58.07000000000001,1378.0,94.36733333333333,209722.73333333334,231431.4,200.0,700.0,240000.0,1083.0,295.0,129600.0,16.0,256.0,0.0
1674827700,1.0,77579.14285714286,1378.0,57.48642857142857,1378.0,96.82142857142856,209747.14285714287,233775.64285714287,200.0,700.0,240000.0,1160.0,218.0,129600.0,16.0,256.0,0.0
1674828000,1.0,77579.14285714286,1378.0,57.48642857142857,1378.0,96.82142857142856,209747.14285714287,233775.64285714287,200.0,700.0,240000.0,1160.0,218.0,129600.0,16.0,256.0,0.0
1674828300,1.0,81145.33333333333,1377.0,53.98866666666666,1377.0,94.49399999999999,212021.26666666666,237996.8,200.0,700.0,240000.0,1170.0,207.0,129600.0,16.0,256.0,0.0
1674828600,1.0,81145.33333333333,1377.0,53.98866666666666,1377.0,94.49399999999999,212021.26666666666,237996.8,200.0,700.0,240000.0,1170.0,207.0,129600.0,16.0,256.0,0.0
1674828900,1.0,81145.33333333333,1378.0,52.05266666666667,1378.0,90.08466666666666,211647.4,237982.13333333333,200.0,700.0,240000.0,1218.0,160.0,129600.0,16.0,256.0,0.0
1674829200,1.0,81145.33333333333,1378.0,52.05266666666667,1378.0,90.08466666666666,211647.4,237982.13333333333,200.0,700.0,240000.0,1218.0,160.0,129600.0,16.0,256.0,0.0
1674829500,1.0,81145.33333333333,1378.0,52.11466666666666,1378.0,88.43933333333334,213675.13333333333,233654.4,200.0,700.0,240000.0,1218.0,160.0,129600.0,16.0,256.0,0.0
1674829800,1.0,81145.33333333333,1378.0,52.11466666666666,1378.0,88.43933333333334,213675.13333333333,233654.4,200.0,700.0,240000.0,1218.0,160.0,129600.0,16.0,256.0,0.0
1674830100,1.0,81145.33333333333,1378.0,51.931333333333335,1378.0,88.10466666666667,209639.26666666666,233324.73333333334,200.0,700.0,240000.0,1229.0,149.0,129600.0,16.0,256.0,0.0
1674830400,1.0,81145.33333333333,1378.0,51.931333333333335,1378.0,88.10466666666667,209639.26666666666,233324.73333333334,200.0,700.0,240000.0,1229.0,149.0,129600.0,16.0,256.0,0.0
1674830700,1.0,77579.14285714286,1377.0,57.07499999999999,1377.0,90.34714285714286,202303.0,232648.2142857143,200.0,700.0,240000.0,1244.0,133.0,129600.0,16.0,256.0,0.0
1674831000,1.0,77579.14285714286,1377.0,57.07499999999999,1377.0,90.34714285714286,202303.0,232648.2142857143,200.0,700.0,240000.0,1244.0,133.0,129600.0,16.0,256.0,0.0
1674831300,1.0,77579.14285714286,1377.0,58.57428571428572,1377.0,95.60357142857141,205006.7857142857,232689.92857142858,200.0,700.0,240000.0,1241.0,136.0,129600.0,16.0,256.0,0.0
1674831600,1.0,77579.14285714286,1377.0,58.57428571428572,1377.0,95.60357142857141,205006.7857142857,232689.92857142858,200.0,700.0,240000.0,1241.0,136.0,129600.0,16.0,256.0,0.0
1674831900,1.0,91268.0,1377.0,49.42357142857143,1377.0,101.22428571428568,210160.57142857142,232297.2142857143,200.0,700.0,240000.0,1329.0,48.0,129600.0,16.0,256.0,0.0
1674832200,1.0,91268.0,1377.0,49.42357142857143,1377.0,101.22428571428568,210160.57142857142,232297.2142857143,200.0,700.0,240000.0,1329.0,48.0,129600.0,16.0,256.0,0.0
1674832500,1.0,86981.66666666667,1373.0,46.21166666666667,1373.0,88.45916666666666,206459.91666666666,233623.41666666666,200.0,700.0,240000.0,1369.0,4.0,129600.0,16.0,256.0,0.0
1674832800,1.0,86981.66666666667,1373.0,46.21166666666667,1373.0,88.45916666666666,206459.91666666666,233623.41666666666,200.0,700.0,240000.0,1369.0,4.0,129600.0,16.0,256.0,0.0
