job_id,time_limit,submit_time,priority,job_state,job_time_left,job_maximum_allocated_nodes,job_minimum_requested_cpus,job_minimum_requested_memory,job_queue_time,job_requested_allocated_cpus,job_start_time,job_allocated_minimum_requested_nodes,job_end_time,job_execution_time,job_maximum_allocated_cpus
2orzqz1L0rpwq_AxpRVHw-BufrF3nThgEcoVcYYNb9M=,1-12:00:00,2023-04-19T11:19:15,0.00000002887100,0.0,129600.0,64.0,8.0,102400.0,20433.0,8192.0,1681960247.0,64.0,1682089847.0,0.0,8192.0
4Wiubmuhhhqybo4WjOMy7Wr6oOvV-5COqvVnBaUcE-U=,1-12:00:00,2023-04-20T21:51:51,0.00000002887100,1.0,111822.0,64.0,32.0,81920.0,93699.0,16384.0,1682121210.0,64.0,1682250810.0,17778.0,16384.0
5X3UKX_lXm2-KNT3g2q6SwfS202uFCiZ-5uViwrEjFc=,1-00:00:00,2023-04-19T23:33:06,0.00000004773028,1.0,63150.0,100.0,256.0,240000.0,4153.0,25600.0,1681951339.0,100.0,1682037739.0,23250.0,25600.0
5viQG4bN6Z3wIaIYJPHenn1bJqR5GTkq0szCcDqPBy4=,1-12:00:00,2023-04-20T21:54:59,0.00000003143214,1.0,111937.0,64.0,32.0,81920.0,100827.0,16384.0,1682128526.0,64.0,1682258126.0,17663.0,16384.0
IWcMcaNO_2mkbhzhu1eWNmv-jwgsRhjb1HuMCMFCZdA=,1-12:00:00,2023-04-20T21:57:12,0.00000003143214,1.0,111984.0,64.0,32.0,81920.0,107940.0,16384.0,1682135772.0,64.0,1682265372.0,17616.0,16384.0
J0VFSVgh_FE72Kui5c_UfwZ3T6XT-UTg7R8b94wv9pg=,1-12:00:00,2023-04-21T08:52:04,0.00000002887100,1.0,17332.0,64.0,8.0,102400.0,96396.0,16384.0,1682163520.0,64.0,1682293120.0,112268.0,16384.0
KD2VcHhcsxzYRiaA3Qm7EOMx-37yQYXpIxwBjGLuaJI=,1-12:00:00,2023-04-20T21:57:54,0.00000003143214,1.0,111893.0,64.0,32.0,81920.0,108407.0,16384.0,1682136281.0,64.0,1682265881.0,17707.0,16384.0
LcWGW4q9f5QR-kY1opA2qqJPfbKlRMQDIuA2zK05yqM=,1-00:00:00,2023-04-19T12:47:54,0.00000004796311,1.0,75397.0,100.0,256.0,240000.0,26912.0,25600.0,1681935386.0,100.0,1682021786.0,11003.0,25600.0
N3A4PYYItP4F2tB6PEi4i-6JdUO50CO6BG0hE7IOyKU=,1-12:00:00,2023-04-20T21:51:08,0.00000003143214,1.0,111991.0,64.0,32.0,81920.0,87311.0,16384.0,1682114779.0,64.0,1682244379.0,17609.0,16384.0
PJ5ufVnTBkqQ90-cd3noWYO1ELkyqonsOOK3g2iGQhs=,1-12:00:00,2023-04-20T10:24:13,0.00000002887100,1.0,17666.0,64.0,8.0,102400.0,1.0,16384.0,1681986254.0,64.0,1682115854.0,111934.0,16384.0
